CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-056915	263137	CB DT DW 529732 EDG E503459	Research Relative to the Mode of Action of Staphylococcal Enterotoxin.	Sugiyama, H.		1961-05-10	CHICAGO UNIV ILL FOOD RESEARCH INST	Distribution limited to US Gov't agencies and their contractors.	U
CB-058104		CB DW 507601 EDG E505762	Nonlethal BW/CW Study ARDC SR 17516.		MSD-251-951-375 DPG-61-1576	1961-07-10	REPUBLIC AVIATION CORP MINEOLA NY	Distribution limited to DoD agencies only.	S
CB-060895		CB DW 37946 EDG E503919	First Review and Analysis, FY 1962, Protective Development Division.			1961-07-27	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to DoD agencies only.	C
CB-062669		CB DW 535661 EDG E470279	Quarterly Summary of Progress, 31 March 1961, Directorate of Research.		CRDL-TM-10-27 DPG-61-1141 CRDL-61-S-538	1961-03-31	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to DoD agencies only.	S
CB-062954		CB DW 538422	Dugway Proving Ground Operating Program, 1962-1966. Target Year FY 1962, Appendix I to Annex C		DPG-61-1626	1961-07-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jul 1961. Other	C
CB-062956		CB DW 538423	Dugway Proving Ground Operating Program, 1962-1966. Target Year FY 1962, Appendix I to Annex C		DPG-61-2583	1961-10-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; Feb 1989. Other	C
CB-064668		CB DW 515218 EDG E495319	Airborne Agent Travel Program.		DPG-61-1977 CRDL-TL-61-S-1501 CRDL-TL-61-S-1528 H1501610003	1961-09-06	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	S
CB-064730		CB DW 35055	Semiannual Technical Summary, 1 October 1960-31 March 1961, Aerobiology Division.	Persichetti, Karl		1961-03-21	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD APPLIED	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-064731		CB DW 35089	Semiannual Technical Summary, 1 October-31 March 1961, Medical Bacteriology Division.	Graf, Lloyd H.		1961-03-31	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MEDICAL	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-064732		CB DW 35371	Series 2 -- Wind Tunnel Tests of Self-dispersing Rotor Shapes.	Tissue, H. D.	FWR-11	1961-03-01	FAIRCHILD STRATOS CORP HAGERSTOWN MD AIRCRAFT-MISSILES DIV	Distribution limited to DoD agencies only.	C
CB-064733		CB DW 35595	Quarterly Progress Report, January-March 1961, Pilot Plants Division.			1961-06-16	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PILOT PLANTS	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-064738		CB DW 35965 DW 35985	Quarterly Technical Report, 1 January-31 March 1961, Aerobiology Division.			1961-01-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD APPLIED	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-064739		CB DW 36168	Semiannual Technical Summary, 1 April-30 September 1961, Aerobiology Division.	Persichetti, Karl		1961-09-21	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD APPLIED	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-064740		CB DW 36596	Quarterly Technical Report, 1 July-30 September 1961, Aerobiology Division.		IS-64-2-263	1961-01-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD APPLIED	Distribution limited to DoD agencies only.	C
CB-064766		CB DW 37017	Development of Dry Agent Flettner Bomblet. Technical Progress Report, July-December 1961, Munitions	Deleonardis, Alfornso J. Falconer, D. W.	DPG-62-0708	1961-12-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MUNITIONS	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-064774		CB DW 37075	Quarterly Technical Report, 1 October-31 December 1961, Aerobiology Division.			1961-12-31	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD APPLIED	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-064864		CB DW 38526	Semiannual Progess Report, October 1961-June 1962, Process Development Division.		62-FDS-1980	1961-10-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989. Other	C
CB-066976		CB DW 502805	Concepts for Employment of Biological Warheads for the Sergeant General.		CMCLD-61-62 DPG-61-2466	1961-10-01	CHEMICAL CORPS TRAINING COMMAND FORT MCCLELLAN AL	Distribution limited to DoD agencies only.	C
CB-066977		CB DW 502808 EDG E504496	Air Delivery of Smoke by Army Aircraft. Final Report, April 1961.		CMLCD-57-1 DPG-61-0927 P61-S-164	1961-04-01	ARMY CHEMICAL CORPS ENGINEERING COMMAND ARMY CHEMICAL CENTER	Distribution limited to DoD agencies only.	C
CB-066995		CB DW 503804	Third Quarter, Technical Program Review and Analysis, FY 1961.		DPG-61-0806	1961-04-01	FORT DETRICK FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; Dec 1977. Other	S
CB-066997		CB DW 503805	First Quarter, Technical Program Review and Analysis, FY 1961.		DPG-61-2291	1961-10-01	FORT DETRICK FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; Dec 1977. Other	C
CB-067026		CB DW 503304 DW 523304	Performance Criteria for CBR Collective Protection of Mobile Equipment. Draft Report, October 1961.		CCB-3-62	1961-10-01	CHEMICAL CORPS BOARD ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-067216		CB DW 503856 EDG E498464	Fifteenth Tripartite Conference on Toxicological Warfare. UK Progress Report and Actions Taken on		TC-15-6	1961-08-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-067220		CB DW 503860 EDG E498462	Fifteenth Tripartite Conference on Toxicological Warfare. UK Progress Report and Actions Taken on		TC-15-4	1961-08-31	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to US Gov't agencies only; Foreign Government Information.	S
CB-067224		CB DW 500101	Summary and Condensation of All Available Data on Trials, Involving Pathogenic Agents, of the Biological		DPGR-289	1961-04-01	ARMY CHEMICAL CORPS RESEARCH AND DEVELOPMENT COMMAND	Distribution limited to DoD agencies only.	C
CB-067549		CB DW 504827	Supplement, CCTC Published Minutes, 29 September 1961.		WH-12345 WH-12933 DPG-61-2709	1961-11-07	CHEMICAL CORPS TECHNICAL COMMAND ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-067601		CB DW 504842	Published Minutes, CCTC Meeting No. 273, 19 May 1961.	Eckert, T. S.	DPG-61-1184 WH-12558	1961-06-06	CHEMICAL CORPS TECHNICAL COMMAND ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-067602		CB DW 504843	Published Minutes, CCTC Meeting No. 274, 29 September 1961.		DPG-61-2709A WH-12940	1961-11-07	CHEMICAL CORPS TECHNICAL COMMAND ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-068730		CB DW 50606	Pennsylvania Turnpike Test. Technical Paper No. 29, March 1961.	Pannier, Wallace L. Malinowski, John C.	TP-29 61-FDS-555	1961-03-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to DoD agencies only.	C
CB-069484		CB DW 538158	Title Classified.			1961-01-01	ARMY CHEMICAL CORPS RESEARCH AND DEVELOPMENT COMMAND	Distribution limited to DoD agencies only.	C
CB-069648		CB DW 504847	Minutes of the 272nd Meeting of the Chemical Corps Technical Committee, 9 February 1961.	Meetze, A. W.		1961-02-09	CHEMICAL CORPS TECHNICAL COMMAND ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-069656		CB DW 504861	Supplement to Minutes of CCTC Meeting No. 272, 9 February 1961.		SS-132 WH-12340 DPG-61-0501	1961-02-28	CHEMICAL CORPS TECHNICAL COMMAND ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-069687		CB DW 505062	Fiftieth Quarterly Progress Notes on the Activity of Defence Research Chemical Laboratories and Defence		DPG-61-2740	1961-10-01	DEFENCE RESEARCH BOARD OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-069688		CB DW 505063	Forty-ninth Quarterly Progress Notes on the Activity of Defense Research Chemical Laboratories and		DPG-61-1940	1961-07-01	DEFENCE RESEARCH BOARD OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-069689		CB DW 505065	Forty-seventh Quarterly Progress Notes on the Activity of Defence Research Chemical Laboratories and		DPG-61-0746	1961-01-01	DEFENCE RESEARCH BOARD OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-069758		CB DW 536328	US Army Chemical Corps Advisory Council, Newsletter No. 104.	Vogt, Tyree C.	DPG-61-2777	1961-10-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-069759		CB DW 536329 EDG E497942	US Army Chemical Corps Advisory Council, Newsletter No. 103. Abstracts.	Vogt, Tyree C.	AC-61-S-62 DPG-61-2337 CRDL-TL-61-S-1405 H1405610134	1961-09-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. This document contains export-controlled	S/REL TO CANUKUS
CB-069760		CB DW 536330	US Army Chemical Corps Advisory Council, Newsletter No. 102. Abstracts.	Vogt, Tyree C.	NL-102 AC-61-S-57 DPG-61-2024	1961-08-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. This document contains export-controlled	C/REL TO CANUKUS
CB-069761		CB DW 536331	US Army Chemical Corps Advisory Council, Newsletter No. 101.	Vogt, Tyree C.	DPG-61-1566	1961-07-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-069762		CB DW 536332 EDG E497941	US Army Chemical Corps Advisory Council Newsletter No. 100, 20 June 1961.	Vogt, Tyree C.	DPG-61-1365 AC-61-S-31 CRDL-61-S-707 CRDL-TL-61-S-958 H0958610078	1961-06-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-069764		CB DW 536333 EDG E497940	US Army Chemical Corps Advisory Council Newsletter No. 99, 20 May 1961.	Vogt, Tyree C.	NL-99 DPG-61-1185 AC-61-C-4	1961-05-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	C/REL TO CANUKUS
CB-069765		CB DW 536334	US Army Chemical Corps Advisory Council, Newsletter No. 98.	Vogt, Tyree C.	DPG-61-0979 AC-61-C-3	1961-04-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-069824		CB DW 536170	Joint USCONARC -- Plan for Integrated Systems Test of AN/USD-2 (XAE-2) Surveillance System.		DPG-61-1391	1961-06-15	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only.	C
CB-069855		CB DW 505098	Project WASP.		DPG-61-0339	1961-02-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-070065		CB DW 35743	Semiannual Report, 1 January-30 June 1961, Process Research Division.		CMLRD-BL-11-PR	1961-07-01	ARMY CHEMICAL CORPS RESEARCH AND DEVELOPMENT COMMAND	Distribution authorized to DoD agencies only.	C
CB-070069		CB DW 35545 EDG E501524	Microbiological Research Establishment Annual Report, 1 April 1960-31 March 1961.		MRE-26 DTC-71-805 61-FDS-919 CRDL-TL-61-S-885 H0885610070	1961-05-31	MINISTRY OF SUPPLY SALISBURY (UNITED KINGDOM) MICROBIOLOGICAL	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-070072		CB DW 37064	Porton Note No. 218.	Thompson, N.	PN-218	1961-05-15	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-070140		CB DW 507982 DW 538376 EDG E499760	BW Warhead for the SERGEANT Missile. Record of Test MD-1900.		DPG-62-0327	1961-09-26	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MUNITIONS	Distribution authorized to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-070142		CB DW 507983	Road Transport Test of the BW Warhead for the SERGEANT Missile. Record of the Test MD-1907, 18		DPG-62-0690	1961-12-22	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MUNITIONS	Distribution authorized to DoD agencies only.	C
CB-070145		CB DW 507984 EDG E495713	Bio Warhead for the SERGEANT Missile. Record of Test MD-1908.		DPG-62-1770 MD-1908	1961-09-28	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MUNITIONS	Distribution authorized to DoD agencies only.	C
CB-070502		CB DW 536327	US Army Chemical Corps Advisory Council, Newsletter No. 10.	Vogt, Tyree C.	AC-61-S-79 DGP-61-2849	1961-11-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution authorized to DoD agencies only.	C
CB-070622		CB DW 508365	Project WASP. Summary Report, Volume 1.		DPG-61-1418	1961-02-06	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution authorized to DoD agencies only.	C
CB-070888		CB DW 501040	Programme No. 10/58, 14 April 1959.	Collins, G. F. Laird, A. R.	PN-185	1961-01-26	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-070897		CB DW 501036 EDG E486289	The Penetration of VX through Resected Skin. Suffield Technical Paper No. 210, 28 June 1961.	Platford, R. F.	SUFFIELD-TP-210 CRDL-TL-61-S-1022 H1022610057	1961-06-28	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-070906		CB DW 501042	Programme 10/58, 7 July 1959.	Laird, A. R. Titt, R. A.	DPG-61-0581 PN-187	1961-03-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-070909		CB DW 501043	Programme 10/58, 18 August 1959.	Laird, A. R. Titt, R. A.	PN-188	1961-01-30	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-070914		CB DW 501044	Title Classified.	Monaghan, J.	PN-193 DPG-61-0887	1961-04-04	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	S/RD
CB-070944		CB DW 508404	Minutes of 49th Meeting, 31 July 1961.	Keister, Juanita M.	DPG-61-2018	1961-07-31	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S/REL TO CANUKUS
CB-070949		CB DW 535930	Proposal No. 61-974C, Technical Part 1.			1961-07-21	ARMOUR RESEARCH FOUNDATION CHICAGO IL	Distribution limited to DoD agencies only.	C
CB-070953		CB DW 508444	A Comparative Evaluation of 155-mm and 8-inch Howditsers.	Paddock, Ralph L., Jr. McKinney, John T.	DPG-61-2025	1961-09-06	ARMY ARTILLERY AND MISSILE SCHOOL FORT SILL OK	Distribution limited to DoD agencies only.	S
CB-072245		CB DW 50889	Standard Operating Procedures. Appendices A and B.	Kamber, Charles S.		1961-09-15	DIRECTORATE OF BIOLOGICAL OPERATIONS PINE BLUFF ARSENAL AR	Distribution limited to DoD agencies only.	C
CB-072538		CB DW 525270	Title Classified.	Allan, Craig R.	DTC-70-792	1961-12-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to DoD agencies only. This document contains export-controlled	S/NOFORN
CB-072551		CB DW 508400	Description, Characteristics, and Use of Agent UL2.		CML-C-SD-385-4	1961-11-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD SAFETY DIVISION	Distribution limited to DoD agencies only.	S
CB-072558		CB DW 508431	Biennial Tripartite CBR Conference. Report on Discussion Group Meetings on BW Applications, 25-26		DPG-62-013	1961-09-25	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-072565		CB DW 508051	Annual Summary Report as of 30 June 1961.		DPG-61-2646	1961-06-30	MUTUAL WEAPONS DEVELOPMENT TEAM PARIS (FRANCE)	Distribution limited to DoD agencies only; Foreign Government Information. This	C
CB-072585		CB DW 501047	Porton Note No. 211, Carried Out 15 February 1961.	Titt, R. A.	PN-211 PROG-4-61	1961-02-15	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-072588		CB DW 501048 EDG E484748	The Effect of Drop Size on Vapor Transfer from Tri-n-butyl Phosphate Deposited on Cloth. Porton Note No.	Musty, J. W. G.	PN-213	1961-04-27	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-072593		CB DW 501049 EDG E484750	The Output Efficiency of the Grenade, Hand, Anti-riot, Irritant, L1A1, and of an Experimental CS Grenade.	Hogg, M. A. P.	PN-221	1961-05-30	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-072597		CB DW 501056 EDG E485741	Evaluation of the USA E17R1 Decontaminating Apparatus and Assessment of the Effectiveness of	Cameron, B. G. Lasch, E. Graham, H. C. Mayhood, J. E.	DPG-61-1297 SR-201	1961-02-22	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-072598		CB DW 501066	Viable Losses of Aerosols of Serratia marcescens as Traced by Sarcina lutea in the Field and Laboratory	Lyon, D. A.	SP-17-61 DPG-61-2795	1961-11-08	SUFFIELD EXPERIMENTAL STATION RALSTON (ALBERTA)	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-072970		CB DW 535227	Canadian Army Operational Research Establishment. Semiannual Progress Report No. 118, 1 October 1960-		CAORE-118	1961-04-01	CANADIAN ARMY OPERATIONAL RESEARCH ESTABLISHMENT OTTAWA	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-072972		CB DW 535228	Implicaations of New Tactics for Military Training and Research.	Smith, A. H.	CAORE-119	1961-05-01	CANADIAN ARMY OPERATIONAL RESEARCH ESTABLISHMENT OTTAWA	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-072974		CB DW 535229	Leadership Requirements, Tactical Concept 1966-1970.	Smith, A. H.	CAORE-120	1961-07-01	CANADIAN ARMY OPERATIONAL RESEARCH ESTABLISHMENT OTTAWA	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-072976		CB DW 535230	Canadian Army Operational Research Establishment. Semiannual Progress Report No. 121, 1 April-30		CAORE-121	1961-10-01	CANADIAN ARMY OPERATIONAL RESEARCH ESTABLISHMENT OTTAWA	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-073294		CB DW 535943 EDG E498471	Fifteenth Tripartite Conference on Toxicological Warfare. UK Discussion Paper.		TC-15-18 15-TRI-S-39 DPG-60-3079	1961-08-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-073369		CB DW 51234	Use of a Portable Inoculation Tower in Laboratory, Greenhouse, and Field Tests of Fungicides to Control			1961-12-15	AMERICAN CYANAMID CO NEW YORK	Approved for Public Release; Distribution Unlimited. Copyrighted Material. Availability:	U
CB-073609		CB DW 535325 EDG E494946 EDG E495016	Evaluation of Small Scale Decontamination Equipment.	Baldwin, S. L.	R-168	1961-02-15	DEPARTMENT OF NATIONAL DEFENCE OTTAWA (ONTARIO)	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-073615		CB DW 535327 EDG E494947	Deputy Quartermaster-General (Design and Development). Report No. 176, 12 April 1961.	Vollett, R. W.	DPG-61-1298 R-176	1961-04-12	DEPARTMENT OF NATIONAL DEFENCE OTTAWA (ONTARIO)	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-073679		CB DW 535334	Directorate of Inter-service Development. Progress report 1, January-December 1961.			1961-12-31	DEPARTMENT OF NATIONAL DEFENCE OTTAWA (ONTARIO)	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-073789		CB DW 507518 EDG E495098	Information Letter 4-60.	Ash, H. L.	IL-4-60 DPG-61-0089	1961-01-01	UNITED STATES ARMY STANDARDIZATION GROUP OTTAWA (CANADA)	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-073801		CB DW 535479 EDG E497852	Meeting of the US Army Chemical Corps Advisory Council, 8-9 December 1960, at Fort McClellan,	Lewis, Patricia J.	AC-61-S-31 CRDL-61-S-658 CRDL-TL-61-S-842 CRDL-TL-61-S-919	1961-06-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	C/REL TO CANUKUS
CB-073815		CB DW 507538	Quarterly Information Letter No. 1-61, 1 January-31 March 1961.	Ash, H. L.	IL-1-61 DPG-61-0705	1961-03-31	UNITED STATES ARMY STANDARDIZATION GROUP OTTAWA (CANADA)	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-074138		CB DW 535480 EDG E497853	Meeting of the US Army Chemical Corps Advisory Council, 8-9 December 1960, at Fort McClellan,	Lewis, Patricia J.	AC-61-S-33 CRDL-61-S-645 CRDL-TL-61-S-799 CRDL-TL-61-S-929 H0799610043	1961-06-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-074139		CB DW 535481 EDG E497857	Meeting of the Chemical Corps Advisory Council, 19-20 June 1961 at Fort Detrick, Maryland.	Lewis, Patricia L.	AC-61-S-73 DPG-61-2781 CRDL-TL-61-S-1662 H1662610052	1961-10-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-074228		CB DW 507644	Quarterly Progress Report, July-September 1961, Directorate of Biological Operations.	Achorn, G. B., Jr.		1961-09-01	DIRECTORATE OF BIOLOGICAL OPERATIONS PINE BLUFF ARSENAL AR	Distribution limited to DoD agencies only.	S
CB-074281		CB DW 507667 DW 522722	Preliminary Study for Off-shore Test Site.		DPG-61-1904 R-417-001	1961-08-23	FAIRCHILD STRATOS CORP HAGERSTOWN MD AIRCRAFT-MISSILES DIV	Distribution limited to DoD agencies only.	C
CB-074284		CB DW 507676	Project WASP. Weapons System Handbook.		DPG-61-0343	1961-01-16	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-074287		CB DW 507679	Dugway Proving Ground Draft Extra-continental Testing, Phase I.			1961-11-21	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; Feb 1988. Other	C
CB-074343		CB DW 525269	Chemical Research and Development Laboratories Technical Report No. 3094, September 1961.	Memolo, Martin J.	DTC-70-791 CRDLR-3094	1961-09-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	C/NOFORN
CB-074421		CB DW 507970	Report of Visit to Fort Huachuca, Arizona and Aerojet-General Corp, 16 March-28 March 1961.		DPG-51-0996	1961-04-21	FORT DETRICK FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1988. Other	C
CB-074458		CB DW 524695	Plan Outline, 2 August 1961.		DTC-62-38 DPG-61-1530	1961-08-02	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	C
CB-074524		CB DW 524733	Operational Support Requirement for a Toxic Chemical Air Weapon.		OSR-395 DTC-62-101	1961-11-15	ARMY AIR FORCES WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-074525		CB DW 524734	Operational Support Requirement for a Chemical Defoliation Capability.		OSR-397	1961-11-17	ARMY AIR FORCES WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-074543		CB DW 535500 EDG E497856	Joint Meeting of the Agents Committee and the Medical Committee, US Army Chemical Corps Advisory	Lewis, Patricia J.	DPG-61-2579 AC-61-S-66 CRDL-TL-62-S-187 H0187620047	1961-09-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-074780		CB DW 535522	US Army Chemical Corps Advisory Council, Newsletter No. 96.	Vogt, Tyree C.	DTC-72-7788	1961-02-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-074805		CB EDG E504049	US Army Chemical Corps Proving Ground Mobilization Program, FY 1961, Annex C, Research and		DPG-61-0553	1961-03-21	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-075068		CB DW 524775	"Biological Chemical Warfare, ""State-of-the-Art,"" Evaluation."		61-ASR-5576	1961-10-02	AERONAUTICAL SYSTEMS DIV WRIGHT-PATTERSON AFB OH	Distribution limited to DoD agencies only.	C
CB-075225		CB DW 522729	Preliminary Design, 13 February-26 May 1961.	Roe, Marshall H.	NA-61-758	1961-02-13	NORTH AMERICAN AVIATION INC LOS ANGELES CA ENGINEERING DEPT	Distribution limited to DoD agencies only.	C
CB-075238		CB DW 535546	Meeting of the Dissemination and Field Testing Committee, US Army Chemical Corps Advisory Council, 22-		DPG-8-1932	1961-09-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-075245		CB DW 535553 EDG E497862	Meeting of the Dissemination and Field Testing Committee, US Army Chemical Corps Advisory Council, 26-	Lewis, Patricia J.	AC-62-S-26 CRDL-62-S-412 CRDL-TL-62-S-643 H0643620044	1961-10-26	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/NOFORN
CB-075248		CB DW 535552 EDG E497855	Joint Meeting of the Dissemination and Field Testing Committee and the Protective Committee, US Army	Lewis, Patricia J.	AC-61-S-60 DPG-61-2181 CRDL-61-S-977 CRDL-TL-61-S-1308 H1308610048	1961-09-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-075268		CB DW 535551 EDG E497849	Meeting of the Protective Committee, US Army Chemical Corps Advisory Council, 7-8 September 1960 at	Lewis, Patricia J.	AC-61-S-23 CRDL-61-S-545 CRDL-TL-61-S-638 CRDL-TL-61-S-721 H0721610054	1961-04-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
